18.0974532079 NaN
26 23.0875264876 21.2621845937
49 23.9864318928 21.4613273209
142 19.5388992165 20.2970513829
172 22.1237516365 21.2942156074
183 21.2066959211 20.9522643241
216 18.1246860603 26.4430419099
330 23.6754047787 21.835483125
388 22.9172272387 24.3556160961
389 24.3556160961 22.1728334028
407 20.7248027861 26.7127646001
463 23.7398864938 19.9490530735
475 23.8277451759 20.7348220182
615 18.2369217004 20.1710414019
671 20.090586696 20.5085560247
695 19.2014253542 19.1852035365
720 22.7403444769 22.8692924919
721 22.8692924919 18.9355088192
767 18.9656821913 23.147861045
